OPE ID,School,State,Zip Code,School Type,Recipients Q1,Loans Originated Q1,Loan Amount Q1 (USD),Disbursements Q1,Disbursement Amount Q1 (USD),Recipients Q2,Loans Originated Q2,Loan Amount Q2 (USD),Disbursements Q2,Disbursement Amount Q2 (USD),Recipients Q3,Loans Originated Q3,Loan Amount Q3 (USD),Disbursements Q3,Disbursement Amount Q3 (USD),Recipients Q4,Loans Originated Q4,Loan Amount Q4 (USD),Disbursements Q4,Disbursement Amount Q4 (USD)
3768400,STYLETRENDS BARBER AND HAIRSTYLING ACADEMY,SC,297304511,PROPRIETARY,10,10," $39,234.00 ",10," $16,992.00 ",6,6," $36,800.00 ",6," $14,700.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3856400,W. L. BONNER COLLEGE,SC,292035901,PRIVATE,4,4," $19,000.00 ",4," $9,500.00 ",5,5," $30,899.00 ",5," $15,450.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
4096300,CHARLESTON SCHOOL OF LAW,SC,294020535,PROPRIETARY,527,527," $44,61,220.00 ",527," $22,36,131.00 ",536,536," $65,82,041.00 ",542," $32,76,491.00 ", -   , -   , $-   ,0, $-   ,471,476," $1,24,93,720.00 ",534," $59,08,884.00 "
345800,AUGUSTANA COLLEGE,SD,571970001,PRIVATE,869,872," $37,13,170.00 ",872," $18,90,798.00 ","1,053","1,076"," $40,97,265.00 ","1,076"," $20,79,220.00 ",83,85," $8,05,958.00 ",85," $4,14,579.00 ", -   , -   , $-   ,0, $-   
345900,BLACK HILLS STATE UNIVERSITY,SD,577999502,PUBLIC,"1,606","1,633"," $62,35,584.00 ","1,633"," $32,00,293.00 ","1,668","1,741"," $82,42,050.00 ","1,741"," $41,99,955.00 ",66,71," $4,47,950.00 ",72," $2,38,905.00 ", -   , -   , $-   ,0, $-   
346100,DAKOTA WESLEYAN UNIVERSITY,SD,573014398,PRIVATE,491,491," $19,72,383.00 ",500," $9,95,926.00 ",530,530," $24,50,338.00 ",548," $12,25,799.00 ",39,40," $3,69,897.00 ",41," $1,80,548.00 ", -   , -   , $-   ,0, $-   
346300,DAKOTA STATE UNIVERSITY,SD,570421799,PUBLIC,857,859," $32,67,594.00 ",859," $16,73,456.00 ",931,958," $41,92,603.00 ",959," $21,34,461.00 ",89,93," $5,62,663.00 ",93," $2,95,788.00 ", -   , -   , $-   ,0, $-   
346500,MOUNT MARTY COLLEGE,SD,570783724,PRIVATE,569,573," $28,11,702.00 ",573," $13,39,033.00 ",568,600," $34,85,421.00 ",600," $16,18,361.00 ",54,58," $4,81,137.00 ",58," $2,44,081.00 ",63,71," $17,04,635.00 ",71," $5,66,162.00 "
346600,NORTHERN STATE UNIVERSITY,SD,574017198,PUBLIC,970,999," $34,56,594.00 ",999," $17,81,793.00 ",988,"1,081"," $45,07,832.00 ","1,081"," $23,26,099.00 ",48,50," $2,42,947.00 ",50," $1,29,106.00 ", -   , -   , $-   ,0, $-   
346700,PRESENTATION COLLEGE,SD,574011299,PRIVATE,379,380," $14,12,536.00 ",392," $7,47,155.00 ",399,401," $20,48,383.00 ",412," $10,81,425.00 ",18,18," $1,36,333.00 ",19," $78,141.00 ", -   , -   , $-   ,0, $-   
346900,UNIVERSITY OF SIOUX FALLS,SD,571051699,PRIVATE,646,650," $26,99,795.00 ",650," $14,16,250.00 ",730,776," $28,75,969.00 ",776," $14,93,111.00 ",72,75," $6,19,247.00 ",75," $3,33,330.00 ", -   , -   , $-   ,0, $-   
347000,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,SD,577013995,PUBLIC,727,733," $32,53,686.00 ",733," $16,70,262.00 ",812,851," $39,50,107.00 ",851," $20,16,137.00 ",108,111," $7,98,880.00 ",111," $4,05,259.00 ", -   , -   , $-   ,0, $-   
347100,SOUTH DAKOTA STATE UNIVERSITY,SD,570072298,PUBLIC,"5,287","5,341"," $2,18,12,440.00 ","5,343"," $1,13,45,615.00 ","5,632","5,966"," $2,61,35,807.00 ","5,967"," $1,35,88,384.00 ",275,288," $17,55,417.00 ",288," $9,34,243.00 ", -   , -   , $-   ,0, $-   
347400,UNIVERSITY OF SOUTH DAKOTA,SD,570692390,PUBLIC,"4,320","4,498"," $1,96,34,312.00 ","4,498"," $1,01,19,172.00 ","4,458","4,876"," $2,84,69,254.00 ","4,876"," $1,44,46,339.00 ",519,534," $30,26,337.00 ",534," $15,35,082.00 ",128,144," $14,31,388.00 ",144," $7,80,852.00 "
405600,NORTH AMERICAN BAPTIST SEMINARY,SD,571052729,PRIVATE,50,50," $3,90,662.00 ",50," $1,95,014.00 ",38,43," $2,48,978.00 ",43," $1,22,837.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
405700,NATIONAL AMERICAN UNIVERSITY,SD,577013692,PROPRIETARY,933,942," $29,57,677.00 ",942," $12,03,038.00 ","1,197","1,615"," $42,64,054.00 ","1,616"," $20,74,444.00 ",1,1," $8,810.00 ",1," $2,938.00 ", -   , -   , $-   ,0, $-   
492900,AVERA MCKENNAN HOSPITAL,SD,571175045,PRIVATE,1,1," $3,500.00 ",1," $1,750.00 ",2,2," $7,500.00 ",2," $3,750.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
530900,LAKE AREA TECHNICAL INSTITUTE,SD,572012869,PUBLIC,686,689," $23,81,511.00 ",694," $10,61,108.00 ",703,711," $28,57,241.00 ",713," $12,19,995.00 ",29,29," $1,54,086.00 ",29," $67,101.00 ", -   , -   , $-   ,0, $-   
776400,SOUTHEAST TECHNICAL INSTITUTE,SD,571071301,PUBLIC,"1,288","1,288"," $43,41,507.00 ","1,291"," $22,83,499.00 ","1,385","1,385"," $61,84,757.00 ","1,400"," $32,27,606.00 ",50,50," $3,10,500.00 ",50," $1,62,150.00 ", -   , -   , $-   ,0, $-   
828400,MITCHELL TECHNICAL INSTITUTE,SD,573010000,PUBLIC,466,469," $16,36,763.00 ",488," $8,19,971.00 ",470,492," $18,63,395.00 ",508," $9,15,666.00 ",71,72," $4,41,775.00 ",74," $2,22,816.00 ", -   , -   , $-   ,0, $-   
1017000,WESTERN DAKOTA TECHNICAL INSTITUTE,SD,577014018,PUBLIC,615,621," $20,05,025.00 ",625," $9,74,574.00 ",585,608," $25,84,505.00 ",611," $12,41,434.00 ",34,34," $2,11,254.00 ",34," $99,839.00 ", -   , -   , $-   ,0, $-   
1147700,SANFORD MEDICAL CENTER,SD,571175039,PRIVATE,3,3," $10,500.00 ",3," $5,250.00 ",5,5," $21,750.00 ",5," $10,250.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2137100,BLACK HILLS BEAUTY COLLEGE,SD,577012718,PROPRIETARY,41,41," $1,37,959.00 ",41," $68,679.00 ",20,21," $52,269.00 ",21," $26,380.00 ",1,1," $5,135.00 ",1," $2,568.00 ", -   , -   , $-   ,0, $-   
2144600,KILIAN COMMUNITY COLLEGE,SD,571037020,PRIVATE,117,117," $3,85,211.00 ",117," $1,42,576.00 ",109,109," $4,79,049.00 ",109," $1,77,410.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2297800,HEADLINES ACADEMY,SD,577012733,PROPRIETARY,23,23," $66,527.00 ",24," $36,373.00 ",23,23," $77,079.00 ",24," $39,631.00 ",2,2," $5,900.00 ",2," $3,209.00 ", -   , -   , $-   ,0, $-   
347700,AQUINAS COLLEGE,TN,372052086,PRIVATE,309,309," $11,33,983.00 ",312," $6,21,798.00 ",317,319," $16,01,411.00 ",322," $8,86,681.00 ",23,23," $1,91,963.00 ",23," $1,15,213.00 ", -   , -   , $-   ,0, $-   
347800,AUSTIN PEAY STATE UNIVERSITY,TN,370440002,PUBLIC,"4,199","4,347"," $1,88,43,301.00 ","4,361"," $92,02,073.00 ","4,068","4,458"," $2,39,27,417.00 ","4,468"," $1,15,15,962.00 ",203,218," $17,14,519.00 ",222," $8,70,833.00 ",4,5," $14,473.00 ",5," $13,738.00 "
347900,BELMONT UNIVERSITY,TN,372123757,PRIVATE,"2,199","2,219"," $1,24,04,679.00 ","2,242"," $62,68,565.00 ","2,390","2,471"," $1,64,23,582.00 ","2,498"," $82,83,310.00 ",652,679," $1,18,70,970.00 ",690," $62,47,245.00 ",169,183," $21,65,480.00 ",184," $11,19,177.00 "
348000,BETHEL UNIVERSITY,TN,382011705,PRIVATE,932,937," $37,75,240.00 ",938," $21,35,314.00 ",907,927," $48,01,589.00 ",929," $26,77,765.00 ",16,16," $89,954.00 ",18," $51,189.00 ",15,17," $4,27,647.00 ",17," $1,42,561.00 "
348100,CARSON - NEWMAN COLLEGE,TN,377602204,PRIVATE,490,491," $21,67,405.00 ",491," $11,84,576.00 ",504,519," $23,65,667.00 ",519," $12,70,916.00 ",151,168," $12,43,221.00 ",172," $7,06,362.00 ", -   , -   , $-   ,0, $-   
348200,CHRISTIAN BROTHERS UNIVERSITY,TN,381045581,PRIVATE,708,716," $32,03,134.00 ",716," $16,35,012.00 ",854,903," $48,68,411.00 ",904," $24,83,110.00 ",45,46," $3,43,285.00 ",46," $1,75,268.00 ", -   , -   , $-   ,0, $-   
348300,COLUMBIA STATE COMMUNITY COLLEGE,TN,384015653,PUBLIC,390,393," $12,97,497.00 ",393," $6,50,594.00 ",337,339," $12,08,099.00 ",339," $6,03,754.00 ",9,9," $45,900.00 ",9," $22,950.00 ", -   , -   , $-   ,0, $-   
348500,CUMBERLAND UNIVERSITY,TN,370873554,PRIVATE,516,518," $19,07,676.00 ",518," $12,22,038.00 ",557,560," $21,62,272.00 ",560," $13,22,887.00 ",52,52," $4,82,000.00 ",52," $2,59,670.00 ", -   , -   , $-   ,0, $-   
348600,LIPSCOMB UNIVERSITY,TN,372043951,PRIVATE,"1,312","1,335"," $65,80,754.00 ","1,336"," $36,02,838.00 ","1,380","1,472"," $88,36,049.00 ","1,476"," $47,45,624.00 ",276,293," $33,89,282.00 ",295," $18,43,932.00 ",85,91," $13,85,865.00 ",92," $7,06,163.00 "
348700,EAST TENNESSEE STATE UNIVERSITY,TN,376142857,PUBLIC,311,311," $26,20,449.00 ",311," $13,14,475.00 ",302,324," $75,25,615.00 ",324," $37,69,125.00 ", -   , -   , $-   ,0, $-   ,126,168," $12,03,883.00 ",168," $5,97,144.00 "
349000,FISK UNIVERSITY,TN,372083045,PRIVATE,324,332," $15,83,950.00 ",334," $7,98,400.00 ",313,374," $14,97,643.00 ",376," $7,55,593.00 ",72,78," $10,83,648.00 ",78," $5,41,804.00 ", -   , -   , $-   ,0, $-   
349200,FREED HARDEMAN UNIVERSITY,TN,383402399,PRIVATE,"1,028","1,032"," $53,24,253.00 ","1,032"," $27,09,989.00 ","1,029","1,111"," $62,61,584.00 ","1,115"," $32,22,607.00 ",204,211," $21,81,479.00 ",229," $11,80,953.00 ",11,13," $1,07,196.00 ",14," $68,353.00 "
349500,JOHNSON UNIVERSITY,TN,379989775,PRIVATE,266,270," $10,60,348.00 ",272," $5,62,861.00 ",232,235," $9,47,566.00 ",241," $4,79,113.00 ",40,40," $2,56,660.00 ",40," $1,28,696.00 ", -   , -   , $-   ,0, $-   
349600,KING COLLEGE,TN,376202699,PRIVATE,690,698," $35,14,083.00 ",698," $17,84,924.00 ",636,732," $30,90,225.00 ",734," $15,75,842.00 ",69,71," $5,03,776.00 ",71," $2,90,185.00 ", -   , -   , $-   ,0, $-   
349800,LAMBUTH UNIVERSITY,TN,383015296,PRIVATE,138,140," $5,93,946.00 ",144," $3,06,306.00 ",149,159," $5,96,488.00 ",166," $3,05,371.00 ",31,31," $2,91,528.00 ",31," $1,55,515.00 ", -   , -   , $-   ,0, $-   
350000,LEE UNIVERSITY,TN,373114475,PRIVATE,"1,623","1,634"," $61,63,937.00 ","1,635"," $38,42,170.00 ","1,759","1,939"," $69,98,364.00 ","1,939"," $44,16,481.00 ",189,193," $18,09,053.00 ",193," $9,63,083.00 ",4,4," $39,557.00 ",4," $19,138.00 "
350100,LEMOYNE - OWEN COLLEGE,TN,381266510,PRIVATE,87,87," $3,62,643.00 ",88," $1,87,791.00 ",68,68," $3,20,379.00 ",68," $1,68,684.00 ",2,2," $11,196.00 ",2," $8,696.00 ", -   , -   , $-   ,0, $-   
350200,LINCOLN MEMORIAL UNIVERSITY,TN,377527920,PRIVATE,"2,008","2,024"," $1,21,26,017.00 ","2,024"," $53,50,498.00 ","1,973","2,055"," $2,20,93,854.00 ","2,055"," $99,85,200.00 ",30,32," $1,54,653.00 ",33," $83,278.00 ",278,290," $47,37,137.00 ",291," $21,84,411.00 "
350400,MARTIN METHODIST COLLEGE,TN,384782799,PRIVATE,434,443," $18,68,421.00 ",452," $9,51,465.00 ",340,364," $13,86,701.00 ",368," $7,03,859.00 ",23,23," $1,83,744.00 ",23," $90,786.00 ", -   , -   , $-   ,0, $-   
350500,MARYVILLE COLLEGE,TN,378045907,PRIVATE,650,652," $27,71,746.00 ",653," $13,97,519.00 ",672,781," $27,11,787.00 ",783," $13,58,002.00 ",100,107," $10,08,540.00 ",108," $5,04,578.00 ", -   , -   , $-   ,0, $-   
350600,MEHARRY MEDICAL COLLEGE,TN,372083599,PRIVATE,306,306," $25,55,359.00 ",306," $12,85,402.00 ",287,294," $83,11,895.00 ",295," $41,62,962.00 ", -   , -   , $-   ,0, $-   ,221,240," $55,35,419.00 ",262," $28,28,637.00 "
350700,MEMPHIS COLLEGE OF ART,TN,381042764,PRIVATE,10,10," $59,125.00 ",10," $30,251.00 ",12,12," $85,500.00 ",12," $44,250.00 ",5,5," $54,130.00 ",5," $27,065.00 ", -   , -   , $-   ,0, $-   
351000,MIDDLE TENNESSEE STATE UNIVERSITY,TN,371323754,PUBLIC,1,1," $2,000.00 ",1," $2,000.00 ",1,1, $200.00 ,1, $200.00 , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
351100,MILLIGAN COLLEGE,TN,376824001,PRIVATE,388,394," $18,89,718.00 ",395," $9,89,552.00 ",435,446," $22,07,288.00 ",446," $11,40,769.00 ",47,49," $5,12,456.00 ",49," $2,65,488.00 ",12,13," $1,37,983.00 ",13," $73,992.00 "
351700,SOUTHERN COLLEGE OF OPTOMETRY,TN,381042222,PRIVATE,224,225," $19,10,400.00 ",229," $9,55,166.00 ",200,218," $46,87,391.00 ",223," $21,96,187.00 ", -   , -   , $-   ,0, $-   ,2,2," $11,892.00 ",2," $11,892.00 "
351800,SOUTHERN ADVENTIST UNIVERSITY,TN,373150370,PRIVATE,725,726," $34,21,241.00 ",726," $17,20,916.00 ",758,763," $33,28,759.00 ",763," $16,69,227.00 ",81,81," $9,76,437.00 ",81," $4,90,198.00 ", -   , -   , $-   ,0, $-   
351900,RHODES COLLEGE,TN,381121690,PRIVATE,378,381," $16,39,637.00 ",381," $8,14,604.00 ",455,481," $17,75,236.00 ",481," $8,89,371.00 ",92,95," $17,06,790.00 ",95," $8,64,581.00 ", -   , -   , $-   ,0, $-   
352300,TENNESSEE TECHNOLOGICAL UNIVERSITY,TN,385050001,PUBLIC, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   ,163,167," $12,18,659.00 ",172," $6,51,736.00 ",4,5," $36,800.00 ",5," $16,816.00 "
352400,TENNESSEE TEMPLE UNIVERSITY,TN,374043587,PRIVATE,385,386," $17,40,524.00 ",388," $8,45,896.00 ",340,356," $17,72,657.00 ",360," $8,52,194.00 ",8,8," $67,610.00 ",8," $34,610.00 ", -   , -   , $-   ,0, $-   
352500,TENNESSEE WESLEYAN COLLEGE,TN,373710040,PRIVATE,427,432," $18,70,572.00 ",432," $9,85,093.00 ",365,386," $15,53,435.00 ",387," $8,13,752.00 ",38,42," $3,13,373.00 ",44," $1,61,188.00 ", -   , -   , $-   ,0, $-   
352600,TREVECCA NAZARENE UNIVERSITY,TN,372102877,PRIVATE,800,811," $45,25,321.00 ",812," $23,67,071.00 ",780,827," $41,75,404.00 ",828," $21,93,675.00 ",114,116," $11,85,560.00 ",117," $6,10,633.00 ",8,8," $59,324.00 ",8," $40,828.00 "
352700,TUSCULUM COLLEGE,TN,377430001,PRIVATE,782,789," $30,59,542.00 ",799," $18,11,226.00 ",747,779," $33,45,542.00 ",785," $20,89,069.00 ",53,53," $4,64,098.00 ",53," $2,40,920.00 ", -   , -   , $-   ,0, $-   
352800,UNION UNIVERSITY,TN,383053697,PRIVATE,"1,344","1,357"," $74,52,178.00 ","1,361"," $34,19,096.00 ","1,492","1,561"," $95,61,151.00 ","1,565"," $42,95,018.00 ",132,137," $14,49,972.00 ",137," $7,23,144.00 ",114,120," $23,20,488.00 ",120," $9,45,136.00 "
352900,UNIVERSITY OF TENNESSEE - CHATTANOOGA,TN,374032598,PUBLIC,"2,887","2,982"," $1,30,23,317.00 ","3,003"," $67,97,439.00 ","3,163","3,456"," $1,68,30,356.00 ","3,475"," $87,01,727.00 ",164,172," $12,31,832.00 ",175," $6,78,985.00 ",11,11," $96,624.00 ",12," $47,298.00 "
353000,UNIVERSITY OF TENNESSEE,TN,379960150,PUBLIC,"9,596","9,700"," $5,62,88,537.00 ","9,736"," $2,88,85,947.00 ","10,144","10,524"," $9,32,08,174.00 ","10,569"," $4,76,87,962.00 ",620,641," $68,85,806.00 ",653," $36,19,895.00 ",643,737," $78,98,621.00 ",750," $42,12,547.00 "
353100,UNIVERSITY OF TENNESSEE - MARTIN,TN,382380002,PUBLIC,"2,675","2,746"," $1,12,80,757.00 ","2,746"," $57,46,460.00 ","2,579","2,760"," $1,18,61,250.00 ","2,760"," $60,28,471.00 ",115,123," $7,17,024.00 ",124," $3,81,752.00 ", -   , -   , $-   ,0, $-   
353400,UNIVERSITY OF THE SOUTH (THE),TN,373831000,PRIVATE,272,274," $11,23,735.00 ",275," $5,65,226.00 ",188,192," $7,93,750.00 ",192," $4,05,526.00 ",90,91," $17,70,503.00 ",91," $9,64,552.00 ", -   , -   , $-   ,0, $-   
353500,VANDERBILT UNIVERSITY,TN,372400001,PRIVATE,"2,140","2,152"," $1,66,37,559.00 ","2,153"," $80,21,514.00 ","2,326","2,379"," $2,67,92,692.00 ","2,379"," $1,28,18,097.00 ",265,272," $57,08,829.00 ",273," $30,31,676.00 ",925,957," $2,59,90,578.00 ",962," $1,15,90,158.00 "
399900,CLEVELAND STATE COMMUNITY COLLEGE,TN,373122858,PUBLIC,371,375," $12,25,016.00 ",376," $6,18,053.00 ",326,335," $10,77,192.00 ",336," $5,41,322.00 ",1,1," $7,370.00 ",1," $3,685.00 ", -   , -   , $-   ,0, $-   
493400,DAYMAR INSTITUTE,TN,372171056,PROPRIETARY,350,350," $12,62,292.00 ",471," $6,10,450.00 ",331,357," $12,44,634.00 ",487," $6,15,213.00 ",5,5," $21,204.00 ",7," $11,235.00 ", -   , -   , $-   ,0, $-   
493800,SOUTH COLLEGE,TN,379093323,PROPRIETARY,128,128," $7,07,267.00 ",130," $2,38,003.00 ",126,206," $9,99,879.00 ",209," $3,38,319.00 ",2,2," $24,000.00 ",2," $8,000.00 ",33,33," $6,23,239.00 ",33," $2,08,491.00 "
535900,TENNESSEE TECHNOLOGY CENTER AT NASHVILLE,TN,372094515,PUBLIC,12,12," $29,942.00 ",13," $15,226.00 ",9,9," $35,018.00 ",9," $17,405.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
537800,NORTHEAST STATE COMMUNITY COLLEGE,TN,376170246,PUBLIC,786,793," $25,77,744.00 ",793," $13,09,858.00 ",373,387," $9,23,391.00 ",387," $4,62,760.00 ",2,2," $7,352.00 ",2," $3,676.00 ", -   , -   , $-   ,0, $-   
683500,DYERSBURG STATE COMMUNITY COLLEGE,TN,380252450,PUBLIC,869,870," $28,61,090.00 ",880," $14,27,086.00 ",215,220," $6,34,012.00 ",224," $3,17,666.00 ",4,4," $23,734.00 ",4," $13,250.00 ", -   , -   , $-   ,0, $-   
743900,FOUNTAINHEAD COLLEGE OF TECHNOLOGY,TN,379182583,PROPRIETARY,33,33," $1,40,750.00 ",33," $71,750.00 ",27,27," $1,62,250.00 ",27," $84,250.00 ",1,1," $7,000.00 ",1," $7,000.00 ", -   , -   , $-   ,0, $-   
744000,NASHVILLE AUTO-DIESEL COLLEGE,TN,372063298,PROPRIETARY,931,931," $32,81,807.00 ",932," $16,53,347.00 ",914,"1,516"," $42,11,666.00 ","1,523"," $21,23,004.00 ",310,311," $35,15,168.00 ",332," $17,66,952.00 ", -   , -   , $-   ,0, $-   
778300,MIDDLE TENNESSEE SCHOOL OF ANESTHESIA,TN,371150417,PRIVATE,66,66," $5,61,000.00 ",66," $2,80,500.00 ",61,61," $7,38,500.00 ",61," $3,69,250.00 ", -   , -   , $-   ,0, $-   ,38,40," $9,63,635.00 ",40," $4,73,175.00 "
886300,WALTERS STATE COMMUNITY COLLEGE,TN,378136899,PUBLIC,399,399," $11,78,536.00 ",399," $5,92,915.00 ",201,201," $5,73,383.00 ",201," $2,89,854.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
991200,VOLUNTEER STATE COMMUNITY COLLEGE,TN,370663188,PUBLIC,"1,329","1,346"," $41,74,173.00 ","1,346"," $21,06,416.00 ",444,449," $12,64,038.00 ",449," $6,34,396.00 ",5,5," $28,765.00 ",5," $14,383.00 ", -   , -   , $-   ,0, $-   
991400,ROANE STATE COMMUNITY COLLEGE,TN,377488664,PUBLIC,587,592," $21,11,028.00 ",592," $10,58,486.00 ",504,513," $19,23,154.00 ",515," $9,67,328.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
998200,VICTORY UNIVERSITY,TN,381114745,PROPRIETARY,331,331," $14,69,137.00 ",331," $7,38,994.00 ",353,353," $22,83,223.00 ",353," $11,49,097.00 ",3,3," $19,250.00 ",3," $14,250.00 ", -   , -   , $-   ,0, $-   
1021700,INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY,TN,372142428,PROPRIETARY,206,206," $7,50,078.00 ",214," $2,68,163.00 ",205,239," $9,32,287.00 ",247," $3,24,574.00 ",11,11," $1,06,646.00 ",13," $45,810.00 ", -   , -   , $-   ,0, $-   
1044700,PLAZA BEAUTY SCHOOL,TN,381174822,PROPRIETARY,10,10," $24,815.00 ",12," $13,322.00 ",9,9," $19,676.00 ",11," $12,015.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1052900,MEMPHIS THEOLGICAL SEMINARY,TN,381044395,PRIVATE,61,61," $4,90,816.00 ",61," $2,47,532.00 ",51,51," $4,14,298.00 ",51," $2,10,148.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1254700,EMMANUEL CHRISTIAN SEMINARY,TN,376019438,PRIVATE,37,39," $2,49,848.00 ",40," $1,24,925.00 ",8,8," $46,362.00 ",8," $23,183.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1269300,PELLISSIPPI STATE COMMUNITY COLLEGE,TN,379330990,PUBLIC,"1,769","1,791"," $56,03,786.00 ","1,792"," $28,32,190.00 ","1,190","1,233"," $47,12,575.00 ","1,234"," $23,82,152.00 ",32,33," $1,92,130.00 ",33," $96,068.00 ", -   , -   , $-   ,0, $-   
2106400,O'MORE COLLEGE OF DESIGN,TN,370642816,PRIVATE,74,74," $3,31,425.00 ",75," $1,69,088.00 ",72,74," $2,54,950.00 ",74," $1,27,613.00 ",27,29," $3,02,224.00 ",29," $1,64,526.00 ", -   , -   , $-   ,0, $-   
2125300,NASHVILLE COLLEGE OF MEDICAL CAREERS,TN,371154696,PROPRIETARY,11,11," $36,556.00 ",12," $20,806.00 ",10,10," $45,254.00 ",11," $21,849.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2153100,PAUL MITCHELL THE SCHOOL NASHVILLE,TN,370133347,PROPRIETARY,59,59," $1,88,509.00 ",61," $95,944.00 ",63,64," $2,63,369.00 ",67," $1,34,429.00 ",3,3," $16,315.00 ",4," $9,939.00 ", -   , -   , $-   ,0, $-   
2157100,CONCORDE CAREER COLLEGE,TN,381370132,PROPRIETARY,272,273," $8,65,377.00 ",276," $4,20,469.00 ",225,225," $9,08,736.00 ",232," $4,48,368.00 ",6,6," $46,095.00 ",6," $18,910.00 ", -   , -   , $-   ,0, $-   
2188300,PENTECOSTAL THEOLOGICAL SEMINARY,TN,373203330,PRIVATE,73,78," $5,38,867.00 ",87," $2,89,408.00 ",57,62," $5,41,087.00 ",69," $2,93,785.00 ", -   , -   , $-   ,0, $-   ,1,2," $5,455.00 ",2," $2,728.00 "
2204200,"CHATTANOOGA COLLEGE - MEDICAL, DENTAL AND TECHNICAL CAREERS",TN,374113798,PROPRIETARY,75,78," $2,68,226.00 ",82," $94,023.00 ",60,61," $2,86,895.00 ",65," $76,494.00 ",9,9," $20,962.00 ",9," $6,992.00 ", -   , -   , $-   ,0, $-   
2294000,VOLUNTEER BEAUTY ACADEMY OF DYERSBURG,TN,380241622,PROPRIETARY,1,1," $3,000.00 ",1," $1,500.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2326200,KAPLAN CAREER INSTITUTE,TN,372171342,PROPRIETARY,164,164," $5,40,592.00 ",185," $2,15,789.00 ",159,161," $7,70,754.00 ",180," $2,89,776.00 ",2,2," $16,051.00 ",2," $5,351.00 ", -   , -   , $-   ,0, $-   
2326300,FORTIS INSTITUTE,TN,385014305,PROPRIETARY,634,634," $21,07,217.00 ",801," $9,82,884.00 ",583,592," $22,30,196.00 ",761," $10,47,630.00 ",25,26," $1,15,371.00 ",33," $53,870.00 ", -   , -   , $-   ,0, $-   
2359800,ITT TECHNICAL INSTITUTE,TN,372143717,PROPRIETARY,410,411," $16,24,273.00 ",412," $5,82,727.00 ",378,378," $19,71,923.00 ",378," $7,05,980.00 ",39,39," $4,02,840.00 ",39," $1,37,599.00 ", -   , -   , $-   ,0, $-   
2540000,TENNESSEE ACADEMY OF COSMETOLOGY,TN,381338940,PROPRIETARY,4,4," $10,083.00 ",4," $5,625.00 ",3,3," $8,667.00 ",3," $5,334.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2578200,NOSSI COLLEGE OF ART,TN,371155138,PROPRIETARY,211,211," $7,68,346.00 ",211," $3,99,852.00 ",221,223," $11,44,521.00 ",223," $5,94,902.00 ",10,10," $1,14,800.00 ",10," $59,400.00 ", -   , -   , $-   ,0, $-   
2614200,MILLER - MOTTE TECHNICAL COLLEGE,TN,370406023,PROPRIETARY,"1,333","1,341"," $45,00,213.00 ","1,370"," $16,64,359.00 ","1,221","1,238"," $48,69,951.00 ","1,253"," $17,31,382.00 ",34,34," $2,10,941.00 ",34," $71,285.00 ", -   , -   , $-   ,0, $-   
3001800,FREE WILL BAPTIST BIBLE COLLEGE,TN,372052498,PRIVATE,122,122," $5,20,027.00 ",122," $2,61,534.00 ",118,119," $5,04,793.00 ",120," $2,34,648.00 ",20,24," $2,25,700.00 ",24," $1,15,850.00 ", -   , -   , $-   ,0, $-   
3024900,TENNESSEE ACADEMY OF COSMETOLOGY,TN,381253442,PROPRIETARY,5,5," $15,875.00 ",6," $9,125.00 ",3,3," $9,167.00 ",4," $6,167.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3061100,GENESIS CAREER COLLEGE: LEBANON CAMPUS,TN,370872718,PROPRIETARY,6,6," $9,343.00 ",6," $6,195.00 ",2,2," $2,371.00 ",2," $2,371.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3073400,ITT TECHNICAL INSTITUTE,TN,379323343,PROPRIETARY,614,621," $24,46,704.00 ",621," $8,64,412.00 ",591,598," $31,57,861.00 ",598," $11,09,339.00 ",69,69," $6,72,906.00 ",69," $2,29,059.00 ", -   , -   , $-   ,0, $-   
